file,fullval_count,best_epoch,best_acc1,best_acc5,last_epoch,last_acc1,last_acc5,source
playground__launch_ofq_200ep_fixedcycle_refkl_20260731.nohup.log,200,194,80.868,95.442,199,80.708,95.49,/mlx_devbox/users/quyanyi/playground/launch_ofq_200ep_fixedcycle_refkl_20260731.nohup.log
playground__train_ofq_200ep_fromscratch_fixedcycle_group_sparse_prevstep_refkl_20260731.log,200,194,80.868,95.442,199,80.708,95.49,/mlx_devbox/users/quyanyi/playground/train_ofq_200ep_fromscratch_fixedcycle_group_sparse_prevstep_refkl_20260731.log
playground__train_ofq_resume10_to210_late_sparse_prevstep_refkl_20260712.log,200,98,80.828,95.424,209,80.614,95.394,/mlx_devbox/users/quyanyi/playground/train_ofq_resume10_to210_late_sparse_prevstep_refkl_20260712.log
playground__launch_ofq_100ep_fromscratch_teacher_sparse_attnkl_clipgrad_20260804.nohup.log,100,99,80.818,95.44,99,80.818,95.44,/mlx_devbox/users/quyanyi/playground/launch_ofq_100ep_fromscratch_teacher_sparse_attnkl_clipgrad_20260804.nohup.log
playground__launch_ofq_100ep_fromscratch_teacher_sparse_attnkl_fixed_20260803.nohup.log,100,81,80.792,95.41,99,80.678,95.484,/mlx_devbox/users/quyanyi/playground/launch_ofq_100ep_fromscratch_teacher_sparse_attnkl_fixed_20260803.nohup.log
playground__launch_ofq_resume200_to300_fixedcycle_refkl_20260802.nohup.log,100,209,80.842,95.482,299,80.69,95.43,/mlx_devbox/users/quyanyi/playground/launch_ofq_resume200_to300_fixedcycle_refkl_20260802.nohup.log
playground__train_ofq_100ep_fromscratch_late_sparse_prevstep_refkl_20260713.log,100,99,80.772,95.432,99,80.772,95.432,/mlx_devbox/users/quyanyi/playground/train_ofq_100ep_fromscratch_late_sparse_prevstep_refkl_20260713.log
playground__train_ofq_100ep_fromscratch_original_ofq_public_control_20260714.log,100,81,80.792,95.41,99,80.678,95.484,/mlx_devbox/users/quyanyi/playground/train_ofq_100ep_fromscratch_original_ofq_public_control_20260714.log
playground__train_ofq_100ep_fromscratch_teacher_sparse_attnkl_clipgrad_20260804.log,100,99,80.818,95.44,99,80.818,95.44,/mlx_devbox/users/quyanyi/playground/train_ofq_100ep_fromscratch_teacher_sparse_attnkl_clipgrad_20260804.log
playground__train_ofq_100ep_fromscratch_teacher_sparse_attnkl_fixed_20260803.log,100,81,80.792,95.41,99,80.678,95.484,/mlx_devbox/users/quyanyi/playground/train_ofq_100ep_fromscratch_teacher_sparse_attnkl_fixed_20260803.log
playground__train_ofq_resume10_to110_dynamic_sparse_prevstep_refkl_20260710.log,100,99,80.76,95.402,109,80.66,95.36,/mlx_devbox/users/quyanyi/playground/train_ofq_resume10_to110_dynamic_sparse_prevstep_refkl_20260710.log
playground__train_ofq_resume10_to110_original_ofq_public_20260711.log,100,101,80.752,95.43,109,80.686,95.336,/mlx_devbox/users/quyanyi/playground/train_ofq_resume10_to110_original_ofq_public_20260711.log
playground__train_ofq_resume200_to300_fixedcycle_sparse_prevstep_refkl_20260802.log,100,209,80.842,95.482,299,80.69,95.43,/mlx_devbox/users/quyanyi/playground/train_ofq_resume200_to300_fixedcycle_sparse_prevstep_refkl_20260802.log
playground__launch_ofq_100ep_fromscratch_teacher_sparse_attnkl_latepolish_20260805.nohup.log,66,59,80.526,95.35,65,80.48,95.378,/mlx_devbox/users/quyanyi/playground/launch_ofq_100ep_fromscratch_teacher_sparse_attnkl_latepolish_20260805.nohup.log
playground__train_ofq_100ep_fromscratch_teacher_sparse_attnkl_latepolish_20260805.log,66,59,80.526,95.35,65,80.48,95.378,/mlx_devbox/users/quyanyi/playground/train_ofq_100ep_fromscratch_teacher_sparse_attnkl_latepolish_20260805.log
playground__train_recipe100ep_e_featnorm_aug_fixed_qkr_softkd_t275_20260705.log,62,59,80.414,95.398,61,80.406,95.326,/mlx_devbox/users/quyanyi/playground/train_recipe100ep_e_featnorm_aug_fixed_qkr_softkd_t275_20260705.log
playground__train_ofq_resume10_to60_original_ofq_public_20260710.log,50,51,80.724,95.34,59,80.57,95.328,/mlx_devbox/users/quyanyi/playground/train_ofq_resume10_to60_original_ofq_public_20260710.log
playground__train_ofq_resume10_to60_sparse_pulse_prevstep_refkl_c_20260709.log,50,53,80.682,95.388,59,80.562,95.362,/mlx_devbox/users/quyanyi/playground/train_ofq_resume10_to60_sparse_pulse_prevstep_refkl_c_20260709.log
playground__launch_ofq_100ep_fromscratch_teacher_sparse_attnkl_20260803.nohup.log,37,36,79.964,95.206,36,79.964,95.206,/mlx_devbox/users/quyanyi/playground/launch_ofq_100ep_fromscratch_teacher_sparse_attnkl_20260803.nohup.log
playground__train_ofq_100ep_fromscratch_teacher_sparse_attnkl_20260803.log,37,36,79.964,95.206,36,79.964,95.206,/mlx_devbox/users/quyanyi/playground/train_ofq_100ep_fromscratch_teacher_sparse_attnkl_20260803.log
playground__train_ofq_public_resume10_to30_20260709.log,20,26,80.598,95.356,29,80.42,95.33,/mlx_devbox/users/quyanyi/playground/train_ofq_public_resume10_to30_20260709.log
playground__train_ofq_resume10_to30_late_prevstep_refkl_20260709.log,16,25,80.484,95.328,25,80.484,95.328,/mlx_devbox/users/quyanyi/playground/train_ofq_resume10_to30_late_prevstep_refkl_20260709.log
playground__train_recipe10ep_e_featnorm_aug_fixed_qkr_softkd_t275_rebuild_20260706.log,10,9,80.364,95.314,9,80.364,95.314,/mlx_devbox/users/quyanyi/playground/train_recipe10ep_e_featnorm_aug_fixed_qkr_softkd_t275_rebuild_20260706.log
